===============================================================================================================
                                    LISTAGEM DE ESTACIONAMENTOS                                              
===============================================================================================================

Nº    | Matrícula | Lugar | Entrada          | Saída           | Valor   
541    | 38-FS-84   | 2H39  | 09/05/2025 18:28 | 09/05/2025 19:33 | 0.65 €
542    | 56-LG-35   | 3D40  | 13/11/2025 08:43 | 13/11/2025 11:46 | 1.83 €
543    | 75-OE-56   | 3V39  | 22/12/2025 11:36 | 22/12/2025 16:40 | 3.04 €
544    | 18-RP-80   | 3G25  | 07/08/2025 19:13 | 07/08/2025 19:20 | 0.07 €
545    | 18-HK-38   | 2B29  | 14/01/2025 17:09 | 14/01/2025 21:36 | 2.67 €
546    | 76-GH-11   | 2G15  | 23/08/2025 10:07 | 23/08/2025 15:29 | 3.22 €
547    | 23-HM-26   | 1G37  | 06/11/2025 10:15 | 06/11/2025 11:42 | 0.87 €
548    | 99-ZY-93   | 1W26  | 18/01/2025 18:55 | 18/01/2025 19:16 | 0.21 €
549    | 76-EU-28   | 2O10  | 27/01/2025 23:00 | 28/01/2025 04:24 | 10.62 €
550    | 79-OP-81   | 2Q18  | 06/03/2025 22:45 | 07/03/2025 01:54 | 9.95 €
551    | 99-YY-31   | 2B38  | 16/02/2025 15:42 | 16/02/2025 18:01 | 1.39 €
552    | 18-AI-23   | 3D24  | 11/10/2025 18:15 | 11/10/2025 22:31 | 2.41 €
553    | 19-LP-22   | 2O21  | 14/11/2025 20:11 | 15/11/2025 01:41 | 11.20 €
554    | 40-PX-88   | 1Q32  | 14/03/2025 13:21 | 14/03/2025 18:26 | 3.05 €
555    | 41-LA-86   | 1C22  | 29/07/2025 11:31 | 29/07/2025 12:40 | 0.69 €
556    | 61-IM-15   | 1G12  | 15/02/2025 22:30 | 16/02/2025 01:41 | 9.96 €
557    | 76-DF-77   | 3J3   | 25/10/2025 18:35 | 25/10/2025 21:41 | 1.86 €
558    | 74-SY-27   | 2C35  | 05/02/2025 20:39 | 05/02/2025 20:48 | 0.09 €
559    | 23-CX-48   | 2J35  | 11/07/2025 14:22 | 11/07/2025 18:28 | 2.46 €
560    | 23-KD-96   | 1G7   | 12/01/2025 12:39 | 12/01/2025 15:40 | 1.81 €
561    | 28-GL-17   | 2Z4   | 11/06/2025 09:17 | 11/06/2025 14:34 | 3.17 €
562    | 42-KG-90   | 2B35  | 02/06/2025 23:33 | 03/06/2025 04:52 | 10.60 €
563    | 97-GK-22   | 3L24  | 10/07/2025 21:03 | 10/07/2025 23:22 | 0.98 €
564    | 65-ZM-93   | 2V26  | 23/02/2025 21:42 | 24/02/2025 00:46 | 10.01 €
565    | 75-PL-91   | 3N11  | 14/08/2025 08:30 | 14/08/2025 12:49 | 2.59 €
566    | 99-BJ-54   | 1D4   | 09/04/2025 16:27 | 09/04/2025 20:50 | 2.63 €
567    | 60-KA-66   | 1F33  | 07/01/2025 15:24 | 07/01/2025 19:35 | 2.51 €
568    | 80-UM-14   | 3U9   | 22/10/2025 22:06 | 23/10/2025 02:34 | 10.34 €
569    | 98-DO-80   | 3I20  | 09/03/2025 11:09 | 09/03/2025 13:12 | 1.23 €
570    | 16-WH-85   | 3G21  | 16/06/2025 12:10 | 16/06/2025 16:23 | 2.53 €
571    | 16-CY-60   | 1Y27  | 20/03/2025 12:38 | 20/03/2025 13:46 | 0.68 €
572    | 23-NV-98   | 2A1   | 22/02/2025 15:20 | 22/02/2025 15:40 | 0.20 €
573    | 50-KO-76   | 2Y36  | 11/01/2025 22:39 | 11/01/2025 23:02 | 0.12 €
574    | 99-HL-58   | 1G40  | 14/06/2025 11:59 | 14/06/2025 13:12 | 0.73 €
575    | 32-QQ-75   | 2P40  | 23/12/2025 11:12 | 23/12/2025 11:13 | 0.01 €
576    | 63-BP-50   | 1O39  | 06/03/2025 12:00 | 06/03/2025 14:05 | 1.25 €
577    | 52-JE-67   | 1W35  | 20/11/2025 22:44 | 21/11/2025 03:50 | 10.53 €
578    | 60-IO-22   | 3M40  | 20/04/2025 10:56 | 20/04/2025 11:24 | 0.28 €
579    | 40-WX-76   | 3P19  | 12/01/2025 13:09 | 12/01/2025 18:30 | 3.21 €
580    | 90-MG-27   | 2A4   | 10/01/2025 11:17 | 10/01/2025 14:43 | 2.06 €
581    | 10-MW-53   | 1H20  | 17/01/2025 10:24 | 17/01/2025 13:39 | 1.95 €
582    | 97-JD-78   | 2Q29  | 07/10/2025 20:28 | 07/10/2025 21:38 | 0.70 €
583    | 95-CZ-14   | 3C36  | 29/05/2025 08:43 | 29/05/2025 12:50 | 2.47 €
584    | 72-QU-30   | 2F33  | 07/03/2025 19:03 | 07/03/2025 19:04 | 0.01 €
585    | 35-GO-10   | 2J2   | 06/08/2025 18:32 | 06/08/2025 19:45 | 0.73 €
586    | 70-EZ-90   | 3N13  | 23/01/2025 23:39 | 24/01/2025 02:43 | 9.92 €
587    | 74-PF-35   | 1R26  | 17/09/2025 16:17 | 17/09/2025 21:43 | 3.26 €
588    | 98-AI-37   | 2Q27  | 07/08/2025 21:44 | 08/08/2025 01:46 | 10.29 €
589    | 84-RZ-77   | 2F27  | 13/11/2025 18:48 | 13/11/2025 21:09 | 1.41 €
590    | 17-AE-70   | 1T14  | 23/05/2025 19:07 | 24/05/2025 00:37 | 11.52 €
591    | 31-XM-74   | 3R26  | 22/06/2025 15:41 | 22/06/2025 19:51 | 2.50 €
592    | 16-TB-35   | 2P24  | 19/01/2025 20:52 | 20/01/2025 01:10 | 10.63 €
593    | 75-CR-64   | 1A40  | 04/11/2025 09:53 | 04/11/2025 13:13 | 2.00 €
594    | 21-SQ-57   | 3X32  | 04/04/2025 19:30 | 04/04/2025 21:34 | 1.24 €
595    | 32-VV-78   | 3Z14  | 07/05/2025 14:41 | 07/05/2025 16:55 | 1.34 €
596    | 71-NY-10   | 2R17  | 06/11/2025 09:57 | 06/11/2025 12:11 | 1.34 €
597    | 41-WN-99   | 2I3   | 15/06/2025 10:00 | 15/06/2025 15:25 | 3.25 €
598    | 89-PP-76   | 3M22  | 02/06/2025 11:44 | 02/06/2025 11:51 | 0.07 €
599    | 51-OB-46   | 2S9   | 09/02/2025 08:08 | 09/02/2025 09:13 | 0.65 €
600    | 34-KW-23   | 2H6   | 02/01/2025 14:08 | 02/01/2025 18:10 | 2.42 €
601    | 13-XH-64   | 1V11  | 14/10/2025 09:19 | 14/10/2025 10:23 | 0.64 €
602    | 19-PD-99   | 2B36  | 11/10/2025 21:42 | 12/10/2025 01:51 | 10.34 €
603    | 56-VJ-10   | 2E32  | 10/07/2025 11:50 | 10/07/2025 13:10 | 0.80 €
604    | 78-BM-42   | 3W18  | 25/02/2025 18:17 | 25/02/2025 22:46 | 2.46 €
605    | 50-VW-43   | 2I8   | 21/10/2025 23:10 | 22/10/2025 03:21 | 10.26 €
606    | 30-GN-77   | 1F8   | 26/08/2025 22:08 | 26/08/2025 22:16 | 0.04 €
607    | 19-LT-19   | 1V32  | 11/11/2025 23:56 | 12/11/2025 00:22 | 9.13 €
608    | 76-BI-55   | 2C21  | 19/08/2025 20:19 | 19/08/2025 21:23 | 0.64 €
609    | 17-JH-26   | 3M38  | 06/04/2025 22:41 | 07/04/2025 02:59 | 10.29 €
610    | 64-DU-45   | 3Q29  | 24/05/2025 20:12 | 25/05/2025 01:16 | 11.06 €
611    | 39-SJ-80   | 2O37  | 27/09/2025 22:03 | 28/09/2025 03:19 | 10.58 €
612    | 19-UG-17   | 1Y28  | 13/12/2025 17:27 | 13/12/2025 22:52 | 2.99 €
613    | 45-YV-81   | 1R8   | 05/01/2025 17:41 | 05/01/2025 19:07 | 0.86 €
614    | 75-SV-13   | 3J2   | 14/03/2025 11:20 | 14/03/2025 15:26 | 2.46 €
615    | 50-FU-70   | 1C18  | 29/11/2025 15:43 | 29/11/2025 16:09 | 0.26 €
616    | 12-ZB-74   | 1L22  | 03/01/2025 11:32 | 03/01/2025 16:47 | 3.15 €
617    | 23-HM-46   | 1A20  | 01/01/2025 02:40 | 25/12/2025 10:13 | 161.33 €
618    | WE-32-MN   | 1A1   | 12/12/2025 12:00 | 12/12/2025 19:00 | 4.20 €
619    | WE-32-CM   | 1A1   | 12/12/2025 12:30 | 12/12/2025 18:00 | 3.30 €
620    | QW-34-LO   | 1A1   | 12/12/2025 12:50 | 12/12/2025 18:00 | 3.10 €
621    | WE-18-AR   | 1A2   | 12/12/2025 12:40 | 12/12/2025 20:00 | 4.40 €
622    | QA-45-VC   | 1A01  | 12/12/2025 12:00 | 12/12/2025 19:00 | 4.20 €
623    | AS-76-BH   | 1A02  | 12/12/2025 12:30 | 12/12/2025 20:30 | 4.80 €
624    | KI-48-SD   | 1A01  | 12/12/2025 11:30 | 12/12/2025 11:45 | 0.15 €
625    | QS-36-ML   | 1A01  | 11/12/2025 12:00 | 13/12/2025 12:00 | 26.40 €
626    | AP-78-LM   | 1A7   | 02/01/2026 23:10 | 02/01/2026 23:11 | 0.01 €

===============================================================================================================
Total de registos: 626
===============================================================================================================
